Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
97119.992188, 153449.656250, 248384.406250, 344047.593750, 478154.093750, 688534.750000
51679.996094, 81654.367188, 132171.593750, 183076.468750, 254437.875000, 366386.937500
9100.002930, 14378.000000, 23273.250000, 32236.750000, 44802.328125, 64514.679688
57100.000000, 90218.000000, 146033.250000, 202276.750000, 281122.375000, 404811.593750
126800.000000, 200344.015625, 324291.000000, 449189.000000, 624278.875000, 898951.187500
120600.000000, 190548.000000, 308434.500000, 427225.500000, 593754.000000, 854996.562500
139920.000000, 221073.593750, 357845.375000, 495666.593750, 688872.812500, 991965.937500
41260.011719, 65190.800781, 105522.453125, 146163.546875, 203136.640625, 292513.750000
87800.015625, 138724.000000, 224548.500000, 311031.500000, 432268.656250, 622460.312500
79880.023438, 126210.398438, 204293.093750, 282974.906250, 393276.062500, 566310.687500
119540.000000, 188873.265625, 305723.562500, 423470.312500, 588534.500000, 847482.125000
61500.000000, 97170.000000, 157286.250000, 217863.750000, 302785.000000, 436005.718750
70080.000000, 110726.382812, 179229.593750, 248258.421875, 345027.187500, 496833.781250
21380.003906, 33780.398438, 54679.351562, 75738.648438, 105260.835938, 151574.078125
106020.000000, 167511.625000, 271146.156250, 375575.718750, 521971.875000, 751631.312500
83199.976562, 131456.000000, 212784.000000, 294736.000000, 409621.343750, 589849.562500
117220.000000, 185207.593750, 299790.156250, 415251.812500, 577113.312500, 831034.500000
31840.000000, 50307.187500, 81430.796875, 112793.226562, 156759.171875, 225730.453125
160960.046875, 254316.796875, 411655.187500, 570200.812500, 792460.125000, 1141130.375000
58640.000000, 92651.203125, 149971.796875, 207732.218750, 288704.531250, 415729.656250
9619.996094, 15199.600586, 24603.148438, 34078.863281, 47362.457031, 68201.242188
115020.000000, 181731.593750, 294163.656250, 407458.281250, 566281.875000, 815437.000000
13620.000000, 21519.591797, 34833.148438, 48248.867188, 67055.781250, 96559.328125
41280.000000, 65222.398438, 105573.593750, 146234.406250, 203235.156250, 292655.468750
108860.000000, 171998.734375, 278409.437500, 385636.687500, 535954.562500, 771765.562500
