Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
129100.000000, 203978.000000, 330173.250000, 457336.750000, 635602.250000, 915257.375000
21440.003906, 33875.187500, 54832.796875, 75951.203125, 105556.273438, 151999.093750
44680.007812, 70594.367188, 114269.093750, 158278.906250, 219974.546875, 316760.031250
54420.000000, 85983.632812, 139179.156250, 192782.781250, 267927.906250, 385811.750000
36880.011719, 58270.398438, 94320.593750, 130647.398438, 181572.562500, 261461.656250
820.000000, 1295.599487, 2097.149902, 2904.851074, 4037.134521, 5813.403809
53680.000000, 84814.367188, 137286.593750, 190161.468750, 264284.625000, 380566.000000
78800.023438, 124504.000000, 201531.000000, 279149.000000, 387958.593750, 558654.937500
19760.005859, 31220.800781, 50536.203125, 69999.773438, 97285.070312, 140088.875000
164539.953125, 259973.203125, 420811.062500, 582882.937500, 810084.875000, 1166509.625000
185100.000000, 292458.000000, 473393.250000, 655716.750000, 911309.000000, 1312271.250000
34980.000000, 55268.398438, 89461.343750, 123916.648438, 172218.203125, 247991.484375
28200.000000, 44556.000000, 72121.500000, 99898.500000, 138838.000000, 199924.531250
77240.031250, 122039.203125, 197541.312500, 273622.593750, 380278.343750, 547594.000000
48319.996094, 76345.632812, 123578.406250, 171173.531250, 237895.421875, 342566.281250
83600.023438, 132088.000000, 213807.000000, 296153.000000, 411590.656250, 592684.187500
13300.000000, 21014.000000, 34014.750000, 47115.250000, 65480.320312, 94290.679688
76820.031250, 121375.609375, 196467.156250, 272134.718750, 378210.343750, 544616.437500
93699.992188, 148046.000000, 239637.750000, 331932.250000, 461316.375000, 664289.375000
47400.000000, 74892.000000, 121225.500000, 167914.500000, 233366.000000, 336043.343750
33340.003906, 52677.191406, 85267.046875, 118106.968750, 164144.125000, 236364.656250
115760.000000, 182900.734375, 296056.187500, 410079.937500, 569925.125000, 820683.875000
61580.000000, 97296.375000, 157490.843750, 218147.218750, 303179.312500, 436572.875000
64920.000000, 102573.625000, 166032.906250, 229979.046875, 319622.812500, 460251.843750
190039.984375, 300263.312500, 486027.312500, 673216.687500, 935630.187500, 1347293.250000
38680.015625, 61114.398438, 98924.093750, 137023.953125, 190434.546875, 274222.750000
17259.996094, 27270.802734, 44142.453125, 61143.550781, 84976.703125, 122365.156250
122400.000000, 193392.000000, 313038.000000, 433602.000000, 602616.000000, 867758.125000
80300.023438, 126874.000000, 205367.250000, 284462.750000, 395343.625000, 569288.187500
8520.000000, 13461.599609, 21789.898438, 30182.099609, 41946.796875, 60402.722656
12900.000000, 20382.000000, 32991.750000, 45698.250000, 63511.000000, 91454.859375
22380.000000, 35360.402344, 57236.851562, 79281.148438, 110184.242188, 158663.562500
67340.007812, 106397.203125, 172222.062500, 238551.953125, 331537.562500, 477408.500000
