Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Top_indice_1,Top_indice_2,Top_indice_3,Label
5569070.5,1909307.25,990740.125,4767600.5,6721037.0,1216234.5,0,15,22,0
5896413.0,1547778.0,960550.125,6160175.0,6219752.5,1558365.375,0,15,23,0
6957061.0,2644049.75,1179234.375,4663229.5,8330070.0,2780046.0,0,15,22,0
2804630.25,1074534.625,542927.125,4456330.5,3824468.75,1800823.0,0,15,23,0
5142512.0,1834164.375,778534.25,6044720.0,5841415.5,1161496.0,0,15,22,0
5242903.5,1634040.75,812142.375,4709682.0,4091756.5,2282209.5,0,23,15,0
6110674.5,1903051.5,743655.25,5308947.0,6458254.5,2881544.75,0,23,15,0
4882814.5,1834341.0,1053979.125,4961880.0,5256248.0,1246396.625,0,22,15,0
6054074.5,1943828.5,661963.5,5027556.5,3739383.25,1790646.25,0,23,15,0
4769997.5,1879360.0,624626.9375,3323936.75,7549405.5,3235147.75,0,15,30,0
4784106.0,1661231.875,753285.4375,4725951.0,6988614.0,1838874.25,0,15,22,0
5462975.5,2100018.0,932370.6875,6110808.5,6302289.5,2798506.0,0,23,15,0
4252587.5,1423071.0,773134.125,6306986.5,3808430.0,1626497.0,0,149,22,0
417332.5,284924.21875,242194.6875,204206.609375,179524.0,197947.296875,0,1,2,0
7297999.0,3963445.5,1207818.875,5077315.5,7492894.5,2043000.5,24,0,25,0
7103725.0,2973527.25,1007949.125,5665169.0,5747914.0,3380820.75,0,25,26,0
7158637.0,2965168.5,1091866.75,5167822.0,4484301.0,2786001.75,0,25,26,0
5979156.0,1473554.125,696482.9375,4335957.5,3673818.25,1973280.875,0,16,24,0
7791703.0,2079285.0,1890849.0,6607560.5,2289309.25,1061775.25,0,23,21,0
5831277.0,1264377.125,1400039.375,6970042.0,5139433.0,1387490.375,0,23,15,0
8957314.0,2917820.0,3869464.25,9164127.0,2550349.5,1264751.875,0,23,24,0
7922426.0,2057410.25,1569262.125,5965827.0,3389877.0,1845357.75,0,24,23,0
12412255.0,5837393.0,2783266.0,7146549.0,3685649.0,2200131.75,25,0,26,0
11259731.0,4660366.0,2216871.25,8133194.0,4632213.0,2454008.75,0,25,24,0
9237783.0,2783998.5,1586300.625,7370927.5,4061344.5,2079268.0,0,24,23,0
6463239.5,2234808.0,1590602.0,7979761.5,5823648.0,2645154.0,0,23,24,0
6383024.5,2502972.5,2020184.75,6079092.0,2889647.5,1662841.0,0,22,21,0
6410806.0,2204171.5,1299791.75,6723805.0,4209837.0,1548604.0,0,23,15,0
6167908.5,2750073.75,1075505.375,7147384.0,4203809.0,2088427.5,0,24,23,0
5846498.5,2095411.625,1903276.125,6826401.0,3845939.25,793148.5,0,23,15,0
9689696.0,2980680.5,1694726.875,6893950.0,2941403.0,1019931.625,0,23,24,0
8290821.0,3238526.75,2103547.5,7850319.0,6384115.5,933785.625,0,23,15,0
7483725.5,2939617.25,1685820.375,7063963.5,4728914.5,959674.3125,0,28,29,0
6632146.5,2531209.25,2098751.0,7213174.0,3437441.75,2158057.75,0,15,22,0
7281071.0,2908991.75,1811303.0,6669117.0,4365952.5,1817802.375,0,23,15,0
7674625.5,2969061.25,1767043.75,6031986.0,4225106.5,1600502.625,0,23,24,0
6645456.5,2549431.5,1642921.5,7493254.0,5401932.0,1252053.875,0,23,15,0
6315130.5,2742920.75,1360860.0,5858803.0,3130471.25,1770588.75,0,15,28,0
6900376.5,2921977.75,1569070.5,5235515.5,2533524.25,1061147.125,0,15,30,0
6927774.0,2703112.0,1200769.875,4878404.5,4361665.5,2087885.5,0,24,16,0
5592908.0,2213334.75,1194270.75,5198324.0,5090287.0,982544.125,0,23,15,0
6091393.0,2479940.0,1297146.375,7604186.0,5386277.0,2566996.5,0,15,30,0
5652899.5,2243236.0,1119748.25,7402878.0,7020791.0,1372581.25,0,15,29,0
5990835.5,2478072.5,977893.1875,4849900.5,3461683.75,1608908.5,0,15,29,0
5261949.5,2495801.75,952810.6875,5100120.5,3283290.0,1731147.375,0,24,23,0
6995172.0,1613934.125,1360986.75,6905720.0,3709523.0,1548555.5,0,15,23,0
6604467.5,2301595.25,2011647.875,5525604.0,3579065.5,1005956.0,0,15,22,0
6224545.5,1881747.125,2055075.375,5898578.5,3134458.75,1264977.875,0,22,15,0
5067438.0,1763730.125,1431306.375,7006154.5,5937924.0,1989523.25,0,15,22,0
5034463.0,2275248.75,1703609.5,4063574.25,2632299.0,1504258.0,0,22,15,0
5569237.5,2842592.75,1490063.25,6350729.5,6491337.5,2906526.75,0,29,28,0
7141004.0,2635988.75,1432724.875,6603309.0,5345770.5,1136059.625,0,15,23,0
6635837.0,1998342.75,1738587.125,7342157.0,4962196.5,1809854.125,0,15,22,0
5599187.0,2047934.5,1364052.875,5689998.5,3871066.5,2292153.5,0,15,23,0
6693927.5,2264490.5,2086738.125,6736530.0,3057945.25,1239956.625,0,22,15,0
4916529.0,2259288.75,1286434.75,4272399.5,3474382.75,1133218.375,0,29,15,0
5292701.0,1552485.125,1716346.25,7407078.0,3758521.75,1778453.25,0,23,15,0
7563339.5,2972138.5,2493209.0,7321681.0,3636513.25,972744.8125,0,15,23,0
6185298.5,1940280.5,1277515.875,6756853.0,5750444.5,2133164.5,0,23,15,0
5294233.5,1899559.0,1290437.75,5769074.0,6815163.0,1985839.625,0,15,22,0
